Name,Icon,Health,Stamina,Total,Healing (hp/tick),Duration (sec),Stack Size,URL,DroppedBy,Crafting,Progression
Raspberries,https://static.wikia.nocookie.net/valheim/images/7/7e/Raspberries.png/revision/latest?cb=20210215131817,7.0,20.0,27.0,1,600,50,https://valheim.fandom.com/en/wiki/Raspberries,Raspberry bushes in Meadows,,Stone
Mushroom,https://static.wikia.nocookie.net/valheim/images/8/8c/Mushroom.png/revision/latest?cb=20210215131734,15.0,15.0,30.0,1,900,50,https://valheim.fandom.com/en/wiki/Mushroom,"Meadows, Black Forest, Swamp",,Stone
Blueberries,https://static.wikia.nocookie.net/valheim/images/a/af/Blueberries.png/revision/latest?cb=20210215131400,8.0,25.0,33.0,1,600,50,https://valheim.fandom.com/en/wiki/Blueberries,Blueberry bushes in the Black Forest biome,,Stone
Carrot,https://static.wikia.nocookie.net/valheim/images/c/c3/Carrot.png/revision/latest?cb=20210215131441,10.0,32.0,42.0,1,900,50,https://valheim.fandom.com/en/wiki/Carrot,Farming Carrot seeds,,Bronze
Cloudberries,https://static.wikia.nocookie.net/valheim/images/e/e4/Cloudberries.png/revision/latest?cb=20210215131511,13.0,40.0,53.0,1,900,50,https://valheim.fandom.com/en/wiki/Cloudberries,Plains biome,,Silver
Honey,https://static.wikia.nocookie.net/valheim/images/c/c6/Honey.png/revision/latest?cb=20210215131700,8.0,35.0,43.0,1,900,50,https://valheim.fandom.com/en/wiki/Honey,Beehive,,Stone
Yellow mushroom,https://static.wikia.nocookie.net/valheim/images/5/57/Yellow_mushroom.png/revision/latest?cb=20210215131741,10.0,30.0,40.0,1,600,50,https://valheim.fandom.com/en/wiki/Yellow_mushroom,"Burial Chambers, Troll Cave, Sunken Crypts",,Stone
Carrot soup,https://static.wikia.nocookie.net/valheim/images/0/00/Carrot_soup.png/revision/latest?cb=20210215131443,15.0,45.0,60.0,2,1500,10,https://valheim.fandom.com/en/wiki/Carrot_soup,Cauldron,Mushroom x 1 Carrot x 3,Bronze
Queens jam,https://static.wikia.nocookie.net/valheim/images/a/ad/Queens_jam.png/revision/latest?cb=20210215131812,14.0,40.0,54.0,2,1200,10,https://valheim.fandom.com/en/wiki/Queens_jam,Cauldron,Crafts 4 Raspberries x 8 Blueberries x 6,Bronze
Grilled neck tail,https://static.wikia.nocookie.net/valheim/images/0/06/Grilled_neck_tail.png/revision/latest?cb=20210215131743,25.0,8.0,33.0,2,1200,20,https://valheim.fandom.com/en/wiki/Grilled_neck_tail,Cooking station,Neck tail x 1,Stone
Cooked boar meat,https://static.wikia.nocookie.net/valheim/images/8/89/Cooked_meat.png/revision/latest?cb=20180727051753,30.0,10.0,40.0,2,1200,20,https://valheim.fandom.com/en/wiki/Cooked_boar_meat,Cooking station,boar meat x 1,Stone
Bread,https://static.wikia.nocookie.net/valheim/images/e/e1/Bread.png/revision/latest?cb=20210215131421,25.0,75.0,100.0,1,1800,20,https://valheim.fandom.com/en/wiki/Bread,Cauldron,Barley flour x 10,Iron
Cooked fish,https://static.wikia.nocookie.net/valheim/images/1/16/Cooked_fish.png/revision/latest?cb=20210215131603,45.0,15.0,60.0,2,1200,20,https://valheim.fandom.com/en/wiki/Cooked_fish,Cooking station,Raw fish x 1,Stone
Turnip stew,https://static.wikia.nocookie.net/valheim/images/f/fd/Turnip_stew.png/revision/latest?cb=20210212175937,18.0,55.0,73.0,2,1500,10,https://valheim.fandom.com/en/wiki/Turnip_stew,Cauldron,Boar meat x 1 Turnip x 1,Bronze
Sausages,https://static.wikia.nocookie.net/valheim/images/a/a0/Sausages.png/revision/latest?cb=20210215131836,55.0,18.0,73.0,3,1500,20,https://valheim.fandom.com/en/wiki/Sausages,Cauldron,Crafts 4 Entrails x 4 Boar meat x 1 Thistle x 1,Bronze
Fish wraps,https://static.wikia.nocookie.net/valheim/images/b/b5/Fish_wraps.png/revision/latest?cb=20210215131607,70.0,23.0,93.0,4,1500,10,https://valheim.fandom.com/en/wiki/Fish_wraps,Cauldron,Cooked fish x 2 Barley flour x 4,Iron
Cooked serpent meat,https://static.wikia.nocookie.net/valheim/images/c/c1/Cooked_serpent_meat.png/revision/latest?cb=20210215131841,70.0,23.0,93.0,3,1500,50,https://valheim.fandom.com/en/wiki/Cooked_serpent_meat,Iron Cooking station,Serpent meat x 1,Iron
Cooked lox meat,https://static.wikia.nocookie.net/valheim/images/4/40/Cooked_lox_meat.png/revision/latest?cb=20210215131722,50.0,16.0,66.0,4,1200,20,https://valheim.fandom.com/en/wiki/Cooked_lox_meat,Cooking station,,Silver
Serpent stew,https://static.wikia.nocookie.net/valheim/images/5/55/Serpent_stew.png/revision/latest?cb=20210215131844,80.0,26.0,106.0,4,1800,10,https://valheim.fandom.com/en/wiki/Serpent_stew,Cauldron,Mushroom x 1 Cooked serpent meat x 1 Honey x 2,Iron
Lox meat pie,https://static.wikia.nocookie.net/valheim/images/5/5e/Lox_meat_pie.png/revision/latest?cb=20210215131724,75.0,24.0,99.0,4,1800,10,https://valheim.fandom.com/en/wiki/Lox_meat_pie,Cauldron,Barley flour x 4 Cloudberries x 2 Lox meat x 2,Silver
Blood pudding,https://static.wikia.nocookie.net/valheim/images/2/28/Blood_pudding.png/revision/latest?cb=20210215131359,23.0,70.0,93.0,1,1500,10,https://valheim.fandom.com/en/wiki/Blood_pudding,Cauldron,Thistle x 2 Bloodbag x 2 Barley flour x 4,Iron
Boar jerky,https://static.wikia.nocookie.net/valheim/images/6/65/Boarjerky.png/revision/latest?cb=20210922034153,20.0,20.0,40.0,1,1800,20,https://valheim.fandom.com/en/wiki/Boar_jerky,Cauldron,Crafts 2 Boar meat x 1 Honey x 1,Bronze
Deer stew,https://static.wikia.nocookie.net/valheim/images/b/bf/Deerstew.png/revision/latest?cb=20210922034153,40.0,13.0,53.0,2,1200,10,https://valheim.fandom.com/en/wiki/Deer_stew,Cauldron,Blueberries x 1 Carrot x 1 Cooked deer meat x 1,Bronze
Muckshake,https://static.wikia.nocookie.net/valheim/images/1/1d/Shocklatesmoothie.png/revision/latest?cb=20210922034153,16.0,50.0,66.0,1,1200,10,https://valheim.fandom.com/en/wiki/Muckshake,Cauldron,Ooze x 1 Raspberries x 2 Blueberries x 2,Bronze
Onion,https://static.wikia.nocookie.net/valheim/images/5/51/Onion.png/revision/latest?cb=20210922183720,13.0,40.0,53.0,1,900,50,https://valheim.fandom.com/en/wiki/Onion,Farming Onion seeds,,Bronze
Minced Meat Sauce,https://static.wikia.nocookie.net/valheim/images/5/58/Mincemeatsauce.png/revision/latest?cb=20210922034153,45.0,15.0,60.0,3,1500,10,https://valheim.fandom.com/en/wiki/Minced_Meat_Sauce,Cauldron,Boar meat x 1 Neck tail x 1 Carrot x 1,Bronze
Wolf jerky,https://static.wikia.nocookie.net/valheim/images/8/8b/Wolfjerky.png/revision/latest?cb=20210922034153,30.0,30.0,60.0,1,1800,20,https://valheim.fandom.com/en/wiki/Wolf_jerky,Cauldron,Wolf meat x 1 Honey x 1,Silver
Onion soup,https://static.wikia.nocookie.net/valheim/images/7/72/OnionSoup.png/revision/latest?cb=20210922034153,12.0,60.0,72.0,1,1200,10,https://valheim.fandom.com/en/wiki/Onion_soup,Cauldron,Onion x 3,Silver
Wolf skewer,https://static.wikia.nocookie.net/valheim/images/d/d7/Wolf_skewer.png/revision/latest?cb=20210922034153,65.0,13.0,78.0,3,1500,20,https://valheim.fandom.com/en/wiki/Wolf_skewer,Cooking station,Wolf meat x 1 Mushroom x 2 Onion x 1,Silver
Black soup,https://static.wikia.nocookie.net/valheim/images/e/e6/BlackSoup.png/revision/latest?cb=20210922034152,50.0,17.0,67.0,3,1200,10,https://valheim.fandom.com/en/wiki/Black_soup,Cauldron,Bloodbag x 1 Honey x 1 Turnip x 1,Bronze
Cooked wolf meat,https://static.wikia.nocookie.net/valheim/images/6/68/Wolf_meat_cooked.png/revision/latest?cb=20210922034153,45.0,15.0,60.0,3,1200,20,https://valheim.fandom.com/en/wiki/Cooked_wolf_meat,Cooking station,Wolf meat x 1,Silver
Eyescream,https://static.wikia.nocookie.net/valheim/images/9/90/Eyescream.png/revision/latest?cb=20210922034153,21.0,65.0,86.0,1,1500,10,https://valheim.fandom.com/en/wiki/Eyescream,Cauldron,Greydwarf eye x 3 Freeze gland x 1,Silver
Cooked deer meat,https://static.wikia.nocookie.net/valheim/images/e/e7/Deer_meat_cooked.png/revision/latest?cb=20210922034153,35.0,12.0,47.0,2,1200,20,https://valheim.fandom.com/en/wiki/Cooked_deer_meat,Cooking station,Deer meat x 1,Stone
